Date,Europe,USA
29/01/1982,9.24,9.2
26/02/1982,9.12,8.72
31/03/1982,8.97,8.53
30/04/1982,9.14,8.89
31/05/1982,9.07,8.61
30/06/1982,8.59,8.4
30/07/1982,8.66,8.06
31/08/1982,8.72,8.97
30/09/1982,9.07,9.07
29/10/1982,9.41,10.1
30/11/1982,9.51,10.36
31/12/1982,9.77,10.6
31/01/1983,10.12,11.06
28/02/1983,10.45,11.26
31/03/1983,10.84,11.6
29/04/1983,11.65,12.48
31/05/1983,11.44,12.22
30/06/1983,11.79,12.68
29/07/1983,11.82,12.13
31/08/1983,11.69,12.27
30/09/1983,11.76,12.43
31/10/1983,11.8,12.24
30/11/1983,12.3,12.41
30/12/1983,12.51,12.34
31/01/1984,13.45,12.12
29/02/1984,12.89,11.49
30/03/1984,13.11,11.64
30/04/1984,13.37,11.63
31/05/1984,12.39,10.93
29/06/1984,12.52,11.18
31/07/1984,12.04,10.9
31/08/1984,12.87,12.03
28/09/1984,13.35,12.04
31/10/1984,13.56,12.03
30/11/1984,13.63,11.81
31/12/1984,14.02,12.06
31/01/1985,14.91,12.93
28/02/1985,14.78,13.02
29/03/1985,14.61,12.95
30/04/1985,14.82,12.77
31/05/1985,15.06,13.52
28/06/1985,14.8,13.75
31/07/1985,14.75,13.41
30/08/1985,15.46,13.27
30/09/1985,15.38,12.82
31/10/1985,16.64,13.34
29/11/1985,17.24,14.18
31/12/1985,17.88,14.82
31/01/1986,18.02,14.68
28/02/1986,18.78,15.68
31/03/1986,20.39,16.55
30/04/1986,20.75,16.34
30/05/1986,19.81,17.19
30/06/1986,19.46,17.43
31/07/1986,18.71,16.23
29/08/1986,20.33,17.41
30/09/1986,19.22,15.92
31/10/1986,19.77,16.71
28/11/1986,19.95,17.02
31/12/1986,20.05,16.55
30/01/1987,20.16,18.52
27/02/1987,20.49,19.05
31/03/1987,20.53,19.49
30/04/1987,20.78,19.15
29/05/1987,20.78,19.16
30/06/1987,21.24,20.17
31/07/1987,22.15,20.95
31/08/1987,21.61,21.72
30/09/1987,22.01,21.18
30/10/1987,16.81,16.49
30/11/1987,15.03,15.02
31/12/1987,15.37,16
29/01/1988,15.67,16.39
29/02/1988,16.57,17
31/03/1988,15.96,16.43
29/04/1988,16.21,16.32
31/05/1988,16.06,16.31
30/06/1988,16.7,17.09
29/07/1988,16.77,16.62
31/08/1988,16.02,15.98
30/09/1988,16.87,16.62
31/10/1988,17.39,16.9
30/11/1988,16.9,16.51
30/12/1988,17.24,16.71
31/01/1989,18.6,17.65
28/02/1989,18.03,17.04
31/03/1989,18.29,17.36
28/04/1989,18.51,18.03
31/05/1989,18.35,18.56
30/06/1989,18.68,18.42
31/07/1989,19.59,19.69
31/08/1989,20.07,19.92
29/09/1989,19.72,19.87
31/10/1989,18.29,19.39
30/11/1989,18.98,19.59
29/12/1989,20.12,19.94
31/01/1990,19.59,18.45
28/02/1990,19.05,18.52
30/03/1990,19.13,18.83
27/04/1990,18.94,18.6
31/05/1990,19.37,19.88
29/06/1990,19.35,19.79
31/07/1990,18.95,19.41
31/08/1990,16.71,17.58
28/09/1990,14.7,16.59
31/10/1990,15.38,16.34
30/11/1990,15.32,17.19
28/12/1990,15.25,17.14
31/01/1991,15.39,18.25
28/02/1991,17.07,19.54
28/03/1991,16.69,19.47
30/04/1991,17.29,19.94
31/05/1991,17.6,20.78
28/06/1991,16.8,19.75
31/07/1991,17.07,20.5
30/08/1991,17.16,20.99
30/09/1991,16.94,20.54
31/10/1991,16.67,20.82
29/11/1991,15.83,19.88
30/12/1991,15.66,19.79
31/01/1992,16.65,21.63
28/02/1992,16.94,22.04
31/03/1992,16.19,21.59
30/04/1992,17,21.88
29/05/1992,17.23,22.01
30/06/1992,15.99,21.6
31/07/1992,14.89,22.24
28/08/1992,14.83,22.18
30/09/1992,14.68,21.75
30/10/1992,15.13,21.65
30/11/1992,15.75,22.19
30/12/1992,15.65,22.13
29/01/1993,16.19,22.51
26/02/1993,16.9,22.92
31/03/1993,17,23.27
28/04/1993,17,22.97
28/05/1993,17.07,22.9
30/06/1993,17.47,22.89
30/07/1993,17.94,22.55
31/08/1993,18.98,23.34
30/09/1993,18.54,22.98
29/10/1993,19.68,23.14
30/11/1993,19.39,22.89
30/12/1993,19.32,22.87
31/01/1994,21.66,23.94
28/02/1994,20.8,23.29
30/03/1994,20.62,23.16
28/04/1994,19.75,21.97
31/05/1994,19.48,22.53
30/06/1994,18.48,21.82
29/07/1994,19.32,22.27
31/08/1994,19.75,23.02
30/09/1994,18.46,22.36
28/10/1994,18.46,22.15
30/11/1994,18.73,21.61
29/12/1994,18.68,21.6
30/01/1995,18.56,21.87
28/02/1995,18.27,22.97
31/03/1995,18.01,23.45
28/04/1995,18.67,23.8
31/05/1995,19.38,24.47
30/06/1995,19.02,25
31/07/1995,19.65,25.42
31/08/1995,19.62,25.21
29/09/1995,19.58,26.23
31/10/1995,19.38,25.81
30/11/1995,19.84,26.56
28/12/1995,19.81,26.57
31/01/1996,20.9,27.8
29/02/1996,20.97,27.62
29/03/1996,21.14,27.82
26/04/1996,21.06,27.41
30/05/1996,21.92,27.49
28/06/1996,21.58,28.27
31/07/1996,20.75,26.54
30/08/1996,21.2,26.96
30/09/1996,22.01,28.36
31/10/1996,22.13,28.59
29/11/1996,23.12,30.37
30/12/1996,23.11,30.34
31/01/1997,24.85,31.49
28/02/1997,25.47,31.24
26/03/1997,25.4,31.15
28/04/1997,25.88,29.4
30/05/1997,27.27,32.72
27/06/1997,26.8,32.64
31/07/1997,30.55,36.04
29/08/1997,28.1,33.71
30/09/1997,30.25,35.29
31/10/1997,27.94,33.79
28/11/1997,28.6,35.02
30/12/1997,28.58,35.07
27/01/1998,30.05,35.47
27/02/1998,33.87,38.13
31/03/1998,36.31,40.01
28/04/1998,36.23,39.77
29/05/1998,36.97,38.95
30/06/1998,36.85,40.44
31/07/1998,37.23,39.61
28/08/1998,36.78,39.37
30/09/1998,29.1,35.87
30/10/1998,31.42,38.32
30/11/1998,33.52,40.65
30/12/1998,33.58,40.69
29/01/1999,35.09,44.82
26/02/1999,35.38,43.11
31/03/1999,35.88,44.77
28/04/1999,35.82,44.55
28/05/1999,36.15,44.4
30/06/1999,36.58,46.38
30/07/1999,35.56,44.3
31/08/1999,35.77,43.53
30/09/1999,34.9,41.89
29/10/1999,36.47,43.78
30/11/1999,38.57,44.47
30/12/1999,38.57,44.49
31/01/2000,40.03,44.58
29/02/2000,42.28,42.96
31/03/2000,42.78,47.13
28/04/2000,42.35,45
31/05/2000,42.23,43.06
30/06/2000,41.42,43.82
31/07/2000,41.39,42.11
31/08/2000,41.58,44
29/09/2000,39.52,41.68
31/10/2000,40.1,40.71
30/11/2000,37.77,37.32
29/12/2000,37.72,37.22
31/01/2001,38.12,38.25
28/02/2001,34.69,34.31
30/03/2001,32.59,32.19
27/04/2001,32.22,31.87
31/05/2001,33.53,34.53
29/06/2001,31.91,33.55
31/07/2001,30.96,32.91
31/08/2001,28.8,30.6
28/09/2001,25.66,28.33
31/10/2001,26.58,28.35
30/11/2001,27.79,30.78
28/12/2001,27.82,30.81
31/01/2002,27.78,30.17
28/02/2002,27.29,29.28
28/03/2002,26.9,29.34
26/04/2002,27.85,30.14
31/05/2002,26.55,27.84
28/06/2002,24.14,25.69
31/07/2002,21.23,23.69
30/08/2002,20.99,23.56
30/09/2002,17.92,20.98
31/10/2002,19.64,22.68
29/11/2002,20.45,23.79
30/12/2002,20.47,23.76
30/01/2003,18.81,21.99
28/02/2003,17.17,20.75
31/03/2003,16.53,20.93
30/04/2003,18.34,22.44
30/05/2003,18.98,23.63
30/06/2003,19.16,23.94
31/07/2003,19.86,24.19
29/08/2003,19.96,24.29
30/09/2003,19.05,24.06
31/10/2003,20.15,25.1
28/11/2003,20.26,25.03
30/12/2003,20.25,25.02
30/01/2004,21.29,26.34
27/02/2004,21.56,26.25
31/03/2004,20.64,25.87
30/04/2004,20.93,25.19
28/05/2004,21.1,25.11
30/06/2004,20.89,25.67
30/07/2004,20.3,24.54
31/08/2004,19.93,24.26
30/09/2004,20.15,24.64
29/10/2004,20.43,24.7
30/11/2004,20.73,25.35
30/12/2004,20.74,25.25
31/01/2005,21.55,25.11
28/02/2005,22.03,25.53
31/03/2005,21.35,25.13
28/04/2005,21.26,24.92
31/05/2005,21.96,25.11
30/06/2005,22.29,25.08
29/07/2005,23.04,25.82
31/08/2005,22.67,25.09
30/09/2005,22.99,25.22
31/10/2005,22.28,24.35
30/11/2005,22.84,25.08
30/12/2005,23.74,25.21
31/01/2006,23.65,24.95
28/02/2006,24.72,25.2
31/03/2006,24.57,25.54
28/04/2006,24.65,25.69
30/05/2006,24.72,25.54
30/06/2006,23.36,24.68
31/07/2006,23.46,24.47
31/08/2006,23.63,24.58
29/09/2006,23.43,25.12
31/10/2006,24.17,25.99
30/11/2006,23.97,26.25
29/12/2006,24.85,26.52
31/01/2007,25.2,26.67
28/02/2007,24.7,25.87
30/03/2007,24.43,25.92
27/04/2007,24.36,25.7
30/05/2007,25.5,26.71
29/06/2007,25.59,26.94
31/07/2007,24.52,25.82
31/08/2007,24.1,25.82
28/09/2007,23.7,26.71
31/10/2007,24.33,27
30/11/2007,23.19,25.45
28/12/2007,23.05,25.25
31/01/2008,20.22,23.46
29/02/2008,20.06,22.39
31/03/2008,18.92,22.38
30/04/2008,20.01,23.34
30/05/2008,20.33,23.69
30/06/2008,17.98,21.65
31/07/2008,17.44,21.08
29/08/2008,17.62,20.96
30/09/2008,15.21,19.16
31/10/2008,13.11,15.87
28/11/2008,12.43,14.66
30/12/2008,12.47,14.9
30/01/2009,11.85,13.81
27/02/2009,10.75,12.43
31/03/2009,11.12,13.7
30/04/2009,12.62,14.99
29/05/2009,13.28,15.93
30/06/2009,12.98,15.99
31/07/2009,14.06,17.13
28/08/2009,13.96,16.96
30/09/2009,15.28,18.44
30/10/2009,14.88,18.1
30/11/2009,15.05,18.95
30/12/2009,15.01,18.85
29/01/2010,15.16,18.39
26/02/2010,15.21,18.88
31/03/2010,16.24,19.81
30/04/2010,15.87,20.09
27/05/2010,15.99,20.34
30/06/2010,14.54,17.55
30/07/2010,15.36,18.86
31/08/2010,14.85,17.66
30/09/2010,15.55,19.44
29/10/2010,16,20.22
30/11/2010,15.3,19.84
30/12/2010,15.27,19.77
31/01/2011,16.38,21.34
28/02/2011,16.69,21.87
31/03/2011,16.2,21.36
28/04/2011,16.09,21.23
31/05/2011,16.5,21.41
30/06/2011,16.05,20.76
29/07/2011,15.28,20.29
31/08/2011,13.61,18.77
30/09/2011,12.89,17.53
31/10/2011,13.81,19.4
30/11/2011,13.45,18.89
30/12/2011,13.6,19.02
31/01/2012,14.06,19.8
29/02/2012,14.62,20.45
30/03/2012,14.4,20.64
27/04/2012,14.3,20.58
31/05/2012,12.99,19
29/06/2012,13.5,19.59
31/07/2012,13.86,19.81
31/08/2012,14.05,19.89
28/09/2012,14.12,20.42
31/10/2012,14.17,19.95
30/11/2012,14.31,19.74
28/12/2012,14.36,19.76
31/01/2013,15.29,20.87
28/02/2013,15.33,20.96
28/03/2013,15.14,20.47
30/04/2013,15.57,21.8
31/05/2013,15.95,22.18
28/06/2013,15,21.71
31/07/2013,15.82,22.77
30/08/2013,15.44,21.73
30/09/2013,15.99,22.54
31/10/2013,16.61,23.56
29/11/2013,16.59,23.91
30/12/2013,16.63,23.85
30/01/2014,16.79,24.32
28/02/2014,17.17,24.43
31/03/2014,16.91,24.06
30/04/2014,17.28,24.23
30/05/2014,17.59,24.62
30/06/2014,17.37,25
31/07/2014,17.02,24.6
29/08/2014,17.22,25.21
30/09/2014,17.16,24.98
31/10/2014,16.82,25.62
28/11/2014,17.31,25.94
30/12/2014,17.37,25.94
30/01/2015,17.77,25.11
27/02/2015,18.91,26.59
31/03/2015,19.1,25.74
30/04/2015,19.19,25.98
29/05/2015,19.24,26.26
30/06/2015,18.2,25.58
31/07/2015,18.98,26.05
28/08/2015,18.85,25.69
30/09/2015,16.94,23.69
30/10/2015,18.13,25.7
30/11/2015,18.32,25.46
30/12/2015,18.38,25.41
29/01/2016,16.9,23.58
29/02/2016,16.6,23.48
31/03/2016,17.21,24.86
28/04/2016,17.22,24.9
31/05/2016,17.86,25.38
30/06/2016,17.45,25.29
29/07/2016,18.13,26.29
31/08/2016,18.23,26.05
30/09/2016,18.58,26.28
31/10/2016,18.65,25.74
30/11/2016,18.32,26.33
30/12/2016,19.34,26.75
31/01/2017,19.27,27.08
28/02/2017,19.64,27.98
31/03/2017,20.68,27.74
28/04/2017,21.15,28.16
31/05/2017,21.65,28.36
30/06/2017,21.22,28.47
31/07/2017,21.32,29.15
31/08/2017,21.13,28.82
30/09/2017,21.98,29.65
31/10/2017,22.44,30.2
30/11/2017,21.85,30.7
29/12/2017,22.3,30.9
31/01/2018,22.33,32.36
28/02/2018,21.33,30.92
31/03/2018,21,29.61
30/04/2018,22.09,29.75
31/05/2018,21.94,30.04
30/06/2018,21.74,29.99
31/07/2018,22.43,31.05
31/08/2018,21.63,31.39
28/09/2018,21.81,31.7
31/10/2018,20.66,29.4
30/11/2018,20.26,29.27
31/12/2018,19.24,26.64
31/01/2019,20.35,28.74
28/02/2019,20.78,29.22
31/03/2019,20.92,29.16
30/04/2019,21.76,30.12
31/05/2019,20.52,27.6
30/06/2019,21.33,29.5
31/07/2019,21.43,29.83
31/08/2019,20.88,28.73
30/09/2019,21.22,29.16
31/10/2019,21.46,29.77
30/11/2019,21.81,30.22
31/12/2019,22.19,31
31/01/2020,21.79,30.91
29/02/2020,19.85,28.1
31/03/2020,17.09,24.29
30/04/2020,17.86,27.3
31/05/2020,18.6,29.04
30/06/2020,19.26,29.86
31/07/2020,18.73,31.19
31/08/2020,19.31,33.53
30/09/2020,19.62,32.07
31/10/2020,18.52,30.79
30/11/2020,21.09,34.29
31/12/2020,21.61,35.49
31/01/2021,20.89,34.81
28/02/2021,21.37,35.47
31/03/2021,22.88,36.8
30/04/2021,23.45,38.25
31/05/2021,23.63,37.67
30/06/2021,23.9,38.46
30/07/2021,24.23,38.62
31/08/2021,24.5,38.91
30/09/2021,23.57,37.11
29/10/2021,24.32,39.08
30/11/2021,23.25,37.87
31/12/2021,24.31,39
31/01/2022,23.11,36.31
28/02/2022,22.16,34.93
31/03/2022,22.31,35.68
29/04/2022,21.57,31.46
31/05/2022,21.38,31.23
30/06/2022,19.65,28.51
29/07/2022,20.63,30.79
31/08/2022,19.39,29.03
30/09/2022,17.98,26.48
31/10/2022,18.90,28.41
30/11/2022,19.84,29.18
30/12/2022,19.16,27.46
31/01/2023,20.55,29.23
28/02/2023,20.39,28.18
31/03/2023,20.24,29.06
28/04/2023,20.94,29.40
31/05/2023,19.99,28.83
30/06/2023,20.53,30.86
31/07/2023,20.71,31.85
31/08/2023,19.75,30.78
29/09/2023,19.29,29.34
